symbol,report_date
ADBE,2000-06-15
ADBE,2000-09-14
ADBE,2000-12-14
ADBE,2001-03-15
ADBE,2001-06-14
ADBE,2001-09-19
ADBE,2001-12-13
ADBE,2002-03-14
ADBE,2002-06-13
ADBE,2002-09-12
ADBE,2002-12-12
ADBE,2003-03-13
ADBE,2003-06-12
ADBE,2003-09-10
ADBE,2003-12-11
ADBE,2004-03-18
ADBE,2004-06-17
ADBE,2004-09-20
ADBE,2004-12-16
ADBE,2005-03-17
ADBE,2005-06-16
ADBE,2005-09-15
ADBE,2005-12-15
ADBE,2006-03-22
ADBE,2006-06-15
ADBE,2006-09-14
ADBE,2006-12-14
ADBE,2007-03-20
ADBE,2007-06-14
ADBE,2007-09-17
ADBE,2007-12-17
ADBE,2008-03-18
ADBE,2008-06-16
ADBE,2008-09-16
ADBE,2008-12-16
ADBE,2009-03-17
ADBE,2009-06-16
ADBE,2009-09-15
ADBE,2009-12-15
ADBE,2010-03-23
ADBE,2010-06-22
ADBE,2010-09-21
ADBE,2010-12-20
ADBE,2011-03-22
ADBE,2011-06-21
ADBE,2011-09-20
ADBE,2011-12-15
ADBE,2012-03-19
ADBE,2012-06-19
ADBE,2012-09-19
ADBE,2012-12-13
ADBE,2013-03-19
ADBE,2013-06-18
ADBE,2013-09-17
ADBE,2013-12-12
ADBE,2014-03-18
ADBE,2014-06-17
ADBE,2014-09-16
ADBE,2014-12-11
ADBE,2015-03-17
ADBE,2015-06-16
ADBE,2015-09-17
ADBE,2015-12-10
ADBE,2016-03-17
ADBE,2016-06-21
ADBE,2016-09-20
ADBE,2016-12-15
ADBE,2017-03-16
ADBE,2017-06-20
ADBE,2017-09-19
ADBE,2017-12-14
ADBE,2018-03-15
ADBE,2018-06-14
ADBE,2018-09-13
ADBE,2018-12-13
ADBE,2019-03-14
ADBE,2019-06-18
ADBE,2019-09-17
ADBE,2019-12-12
ADBE,2020-03-12
ADBE,2020-06-11
ADBE,2020-09-15
ADBE,2020-12-10
ADBE,2021-03-23
ADBE,2021-06-17
ADBE,2021-09-21
ADBE,2021-12-16
ADBE,2022-03-22
ADBE,2022-06-16
ADBE,2022-09-15
ADBE,2022-12-15
ADBE,2023-03-15
ADBE,2023-06-15
ADBE,2023-09-14
ADBE,2023-12-13
ADBE,2024-03-14
ADBE,2024-06-13
ADBE,2024-09-12
ADBE,2024-12-11
ADBE,2025-03-12
ADBE,2025-06-12
ADBE,2025-09-11
ADBE,2025-12-10
ADBE,2026-03-12
ADBE,2026-06-11
ADI,1996-05-22
ADI,1996-08-21
ADI,1996-12-04
ADI,1997-02-19
ADI,1997-05-21
ADI,1997-08-20
ADI,1997-12-03
ADI,1998-02-18
ADI,1998-05-20
ADI,1998-08-19
ADI,1998-12-02
ADI,1999-02-17
ADI,1999-05-19
ADI,1999-08-18
ADI,1999-12-01
ADI,2000-02-16
ADI,2000-05-17
ADI,2000-08-15
ADI,2000-11-14
ADI,2001-02-15
ADI,2001-05-17
ADI,2001-08-16
ADI,2001-11-20
ADI,2002-02-14
ADI,2002-05-16
ADI,2002-08-15
ADI,2002-11-19
ADI,2003-02-13
ADI,2003-05-14
ADI,2003-08-14
ADI,2003-11-18
ADI,2004-02-12
ADI,2004-05-13
ADI,2004-08-12
ADI,2004-11-23
ADI,2005-02-10
ADI,2005-05-12
ADI,2005-08-11
ADI,2005-11-15
ADI,2006-02-09
ADI,2006-05-11
ADI,2006-08-10
ADI,2006-11-14
ADI,2007-02-21
ADI,2007-05-22
ADI,2007-08-21
ADI,2007-11-27
ADI,2008-02-20
ADI,2008-05-20
